EventName,Year,Entries,Segment,Disposition,SourceFile
North Sails Super Yacht Rally,2026,3,Premier Cruise,new event,2026\1. January\North Sails Super Yacht Rally [Jan 29-1].xlsx
Round the Island Race,2026,720,Premier Race,match-or-discard,2026\7. July\Round the Island Race [July 11th].xlsx
The Rolex Fastnet Race 2025,2025,474,Premier Race,match-or-discard,2025\7. July\The Rolex Fastnet Race 2025 Marketshare.xlsx
Spi Ouest,2026,460,Premier Race,new event,2026\4. April\Spi Ouest [April 3-6].xlsx
Silverrudder,2026,444,Premier Race,new event,2026\9. September\Silverrudder [Sep 19th].xlsx
Silverrudder,2025,429,Premier Race,new event,2026\9. September\Silverrudder [Sep 19th].xlsx
2025 Rolex Middle Sea Race,2025,425,Premier Race,match-or-discard,2025\10. October\2025 Rolex Middle Sea Race [Oct 18].xlsx
Bayview Mackinac Race,2026,406,Premier Race,new event,2026\7. July\Bayview Mackinac Race [July 12].xlsx
Rund Um,2026,404,Premier Race,new event,2026\6. June\Rund Um [Jun 4-6].xlsx
Gotlund Runt,2025,382,Premier Race,new event,2025\7. July\Gotlund Runt [June 29th - Jul 2nd].xlsx
Chicago Yacht Club to Mackinac Race,2025,336,Premier Race,new event,2025\7. July\Chicago Yacht Club to Mackinac Race [July 18].xlsx
Kiel Week Annual,2026,308,Premier Race,new event,2025\6. June\Kiel Week Marketshare Annual.xlsx
Cowes Week,2025,305,Premier Race,match-or-discard,2025\8. August\Cowes Week [Aug 2 - 8].xlsx
Trofeo Princesa Sofía Mallorca,2026,269,Premier Race,new event,2026\3. March\Trofeo Princesa Sofía Mallorca [27 March – 4 April].xlsx
Chicago Yacht Club Race to Mackinac,2026,266,Premier Race,new event,2026\7. July\Chicago Yacht Club Race to Mackinac [July 10].xlsx
Les Voiles de Saint-Tropez,2025,248,Premier Race,new event,2026\9. September\Les Voiles de Saint-Tropez [27th Sept - 5th October].xlsx
Les Voiles de Saint-Tropez,2026,243,Premier Race,new event,2026\9. September\Les Voiles de Saint-Tropez [27th Sept - 5th October].xlsx
Tre Golfi Sailing Week 1,2026,213,Premier Race,new event,2026\5. May\Tre Golfi Sailing Week [May 5th -28th]1.xlsx
Swiftsure,2025,195,Premier Race,new event,2025\5. May\Swiftsure [May 24-25].xlsx
Bayview Mackinac Race,2025,191,Premier Race,new event,2025\7. July\Bayview Mackinac Race [July 12].xlsx
UK IRC Nationals 2025,2025,189,Premier Race,match-or-discard,2025\5. May\UK IRC Nationals Marketshare 2025.xlsx
Gotland Runt Course,2026,188,Premier Race,new event,2026\6. June\Gotland Runt Course [June 20 - July 1].xlsx
Rolex China Sea Race 2026,2026,186,Premier Race,new event,2026\3. March\Rolex China Sea Race 2026 [4th - 8th].xlsx
Hamilton Island Race Week,2026,184,Premier Race,new event,2026\8. August\Hamilton Island Race Week [Aug 16-23].xlsx
Tre Golfi Sailing Week_2025,2025,172,Premier Race,new event,2025\5. May\Tre Golfi Sailing Week_2025.xlsx
Hamilton Island Race Week 2024,2024,167,Premier Race,new event,August Marketshares 2024\Hamilton Island Race Week 2024 [August 17].xlsx
NYYC Annual Regatta,2025,157,Premier Race,new event,2025\6. June\NYYC Annual Regatta [Jun 13 - 15].xlsx
Hamilton Island Race Week,2025,155,Premier Race,new event,2026\8. August\Hamilton Island Race Week [Aug 16-23].xlsx
Newport Bermuda Race,2026,154,Premier Race,new event,2026\6. June\🔷Newport Bermuda Race [19-23].xlsx
Chester Race Week,2026,146,Premier Race,new event,2026\8. August\Chester Race Week.xlsx
Charleston Race Week,2026,140,Premier Race,new event,2026\4. April\Charleston Race Week [Apr 16-19].xlsx
Rolex Middle Sea Race,2026,137,Premier Race,match-or-discard,2026\10. October\Rolex Middle Sea Race [Oct 17].xlsx
Rolex Sydney Hobart Yacht Race 2025,2025,137,Premier Race,new event,2025\12. December\Rolex Sydney Hobart Yacht Race 2025.xlsx
Copa del Rey MAPFRE,2025,135,Premier Race,new event,2026\8. August\Copa del Rey MAPFRE.xlsx
Rolex Middle Sea Race,2026,131,Premier Race,match-or-discard,2026\10. October\Rolex Middle Sea Race [Oct 17].xlsx
Chester Race Week,2025,127,Premier Race,new event,2026\8. August\Chester Race Week.xlsx
Gotland Runt Course,2026,126,Premier Race,new event,2026\5. May\Gotland Runt Course [June 20 - July 1].xlsx
LORO PIANA GIRAGLIA,2026,126,Premier Race,new event,2026\6. June\LORO PIANA GIRAGLIA [June 12-20].xlsx
